test_idx,prediction,actual_return,position,pnl,return
522,0.18690931253606263,0.1049702932358556,0.9999924373068045,10.346951072177301,10.346951072177301
523,0.17568146965188408,0.10976996315747978,0.9999800459501932,10.976775421513272,10.976775421513272
524,0.20066379592072695,0.15764246660325765,0.9999985271846823,15.76422067031664,15.76422067031664
525,0.21060209557332496,0.17692430739973863,0.9999990125197029,17.692413196246846,17.692413196246846
526,0.21060209557332493,0.2185950128460583,0.9999990462326491,21.859480430670256,21.859480430670256
527,0.18514226439924011,0.08560194716322878,0.9999928396366551,8.560132491229005,8.560132491229005
528,0.18845609083734732,0.016168622883302897,0.9999534539954953,1.6167811220047597,1.6167811220047597
529,0.186130460798756,-0.04791327859738437,0.9999436953451609,-4.791059549474623,-4.791059549474623
530,0.18042992078266665,-0.012001924111209261,0.9998796840316316,-1.2000576105057832,-1.2000576105057832
531,0.18042992078266665,-0.07762331058218452,0.9998818056759113,-7.7614139129923165,-7.7614139129923165
532,0.18135783471665906,-0.13021523370016708,0.9997328751168871,-13.018067336692395,-13.018067336692395
